Date	Tavg	Rainfall	RH	Sunshine	Immigrants	Vegetative	Reproductive	Ripening	Adult	Year	Sequence	Season	Week	Harvest
2004-12-05	27.1	0	75.6	7.7	0	0	0	0	0	2014	3	0	16	0
2004-12-12	26	0	75	8.5	0	0	0	0	0	2014	3	0	17	0
2004-12-19	25.7	0	80.3	8.1	9	1	0	0	9	2005	3	3	1	0
2004-12-26	25	0	80.4	7.5	32	1	0	0	32	2005	3	3	2	0
2004-12-30	25.9	0	81.5	6.8	28	1	0	0	28	2005	3	3	3	0
2005-01-04	24.5	0	76.7	7.7	30	1	0	0	25	2005	3	3	4	0
2005-01-11	25.7	0	81.6	6.9	30	1	1	0	435	2005	3	3	5	0
2005-01-18	25	0	81.1	7.7	30	1	1	0	362	2005	3	3	6	0
2005-01-25	25.8	0	81.3	8.3	0	0	1	0	307	2005	3	3	7	0
2005-02-01	26.1	0	83	6.7	0	0	1	0	112	2005	3	3	8	0
2005-02-08	26.3	0	80	8.2	0	0	1	0	231	2005	3	3	9	0
2005-02-15	27.2	0	80	8.3	0	0	1	1	204	2005	3	3	10	0
2005-02-22	27	0	80.9	7.6	0	0	0	1	171	2005	3	3	11	0
2005-03-01	27.7	0	79.1	6.8	0	0	0	1	62	2005	3	3	12	0
2005-03-08	26.3	0	71.7	8.3	0	0	0	1	105	2005	3	3	13	0
2005-03-15	28	0	73.3	7.2	0	0	0	1	115	2005	3	3	14	1
2005-03-22	28.8	0	71.9	6.7	0	0	0	0	0	2014	3	0	18	0
2005-03-29	29.4	0	72.9	6.6	0	0	0	0	0	2014	3	0	19	0
2005-04-05	29.3	0	73.6	6.4	0	0	0	0	0	2014	3	0	20	0
2005-04-12	29.7	0	73	8.2	18	1	0	0	18	2005	1	4	1	0
2005-04-19	29.2	0	73.4	7.6	24	1	0	0	24	2005	1	4	2	0
2005-04-26	30.1	0	76	6.1	25	1	0	0	25	2005	1	4	3	0
2005-05-03	30.4	0	73	9.2	24.5	1	0	0	41	2005	1	4	4	0
2005-05-10	28.3	5.1	81.4	4.7	24.5	1	1	0	38	2005	1	4	5	0
2005-05-17	28.4	3.8	83.9	6.8	24.5	1	1	0	45	2005	1	4	6	0
2005-05-24	29.7	0.4	79	7.1	0	0	1	0	94	2005	1	4	7	0
2005-05-31	28.6	5	84.4	5.4	0	0	1	0	371	2005	1	4	8	0
2005-06-07	27.9	4.7	86.9	4.3	0	0	1	0	205	2005	1	4	9	0
2005-06-14	29.3	0	81.9	8.5	0	0	1	1	308	2005	1	4	10	0
2005-06-21	28.4	6.4	83.3	7.5	0	0	0	1	249	2005	1	4	11	0
2005-06-28	28.3	6.4	82.9	5.6	0	0	0	1	378	2005	1	4	12	0
2005-07-05	26.6	4.9	87	4	0	0	0	1	357	2005	1	4	13	0
2005-07-12	28.1	10.1	85.6	7	0	0	0	1	25	2005	1	4	14	1
2005-07-19	28.4	3.7	84.1	6.6	0	0	0	0	0	2014	3	0	21	0
2005-07-26	27	6.3	83.1	1.8	0	0	0	0	0	2014	3	0	22	0
2005-08-02	26.6	7.3	84.4	3.4	0	0	0	0	0	2014	3	0	23	0
2005-08-09	28.4	1.6	78.7	5.1	31	1	0	0	31	2005	2	5	1	0
2005-08-16	28.1	7.8	82.6	4.8	38	1	0	0	38	2005	2	5	2	0
2005-08-23	29	5.4	80.1	7.4	30	1	0	0	30	2005	2	5	3	0
2005-08-30	28.6	0.8	82.4	5.8	34	1	0	0	61	2005	2	5	4	0
2005-09-06	27.8	6.9	84.7	4.9	34	1	1	0	135	2005	2	5	5	0
2005-09-13	27.5	11.9	83	2.4	34	1	1	0	105	2005	2	5	6	0
2005-09-20	27.7	8.6	84.1	5	0	0	1	0	395	2005	2	5	7	0
2005-09-27	28	2	83.3	5.9	0	0	1	0	197	2005	2	5	8	0
2005-10-04	28.1	4.8	83.4	6.5	0	0	1	0	375	2005	2	5	9	0
2005-10-11	28.2	14.4	84.3	6.1	0	0	1	1	68	2005	2	5	10	0
2005-10-18	27.9	12.3	82.9	5.6	0	0	0	1	105	2005	2	5	11	0
2005-10-25	27.5	7.1	84.4	5.6	0	0	0	1	453	2005	2	5	12	0
2005-11-01	28.8	4.4	79.9	6.2	0	0	0	1	198	2005	2	5	13	0
2005-11-08	27.4	2.2	85.7	4.7	0	0	0	1	112	2005	2	5	14	1
2005-11-15	28.1	9.2	84.1	6.9	0	0	0	0	0	2014	3	0	24	0
2005-11-22	26.5	1.2	76.6	6.4	0	0	0	0	0	2014	3	0	25	0
2005-11-29	27.1	11.9	83.3	4.3	0	0	0	0	0	2014	3	0	26	0
2005-12-06	27	9.8	80.9	6.6	0	0	0	0	0	2014	3	0	27	0
2005-12-13	26.5	0.8	76.6	3.1	0	0	0	0	0	2014	3	0	28	0
2005-12-20	23.9	2.1	73.4	4.6	25	1	0	0	25	2006	3	6	1	0
2005-12-27	26.3	3.2	79.9	5.7	78	1	0	0	78	2006	3	6	2	0
2005-12-31	27.6	0	83	6	165	1	0	0	165	2006	3	6	3	0
2006-01-04	26.4	0.6	81.9	6.5	121.5	1	0	0	228	2006	3	6	4	0
2006-01-11	24.9	0	78.7	6.9	121.5	1	1	0	322	2006	3	6	5	0
2006-01-18	25.9	0	82.3	6.6	121.5	1	1	0	631	2006	3	6	6	0
2006-01-25	25.4	1.4	75.7	8.2	0	0	1	0	882	2006	3	6	7	0
2006-02-01	26.3	0.3	81	8	0	0	1	0	435	2006	3	6	8	0
2006-02-08	26.3	0	78.6	5.3	0	0	1	0	905	2006	3	6	9	0
2006-02-15	26.9	0.2	79.7	7.4	0	0	1	1	428	2006	3	6	10	0
2006-02-22	27.3	0	77.9	9	0	0	0	1	404	2006	3	6	11	0
2006-03-01	26.9	0	79.4	7.4	0	0	0	1	155	2006	3	6	12	0
2006-03-08	26.5	0	80	8.6	0	0	0	1	68	2006	3	6	13	0
2006-03-15	27.1	0.8	81.4	6.5	0	0	0	1	377	2006	3	6	14	1
2006-03-22	28	0	77.3	5.6	0	0	0	0	0	2014	3	0	29	0
2006-03-29	28.5	0	77.3	5.9	0	0	0	0	0	2014	3	0	30	0
2006-04-05	29	0	77.4	5.4	0	0	0	0	0	2014	3	0	31	0
2006-04-12	29.2	0.3	78.1	7.7	123	1	0	0	123	2006	1	7	1	0
2006-04-19	28.9	7.8	78.7	8.1	315	1	0	0	315	2006	1	7	2	0
2006-04-26	29.5	2.9	78.9	7	431	1	0	0	431	2006	1	7	3	0
2006-05-03	29.8	4.6	80.3	7.8	373	1	0	0	440	2006	1	7	4	0
2006-05-10	30	2.3	78.1	9.2	373	1	1	0	382	2006	1	7	5	0
2006-05-17	28.7	4.8	81.4	4.9	373	1	1	0	260	2006	1	7	6	0
2006-05-24	28.8	4.8	83	5.6	0	0	1	0	545	2006	1	7	7	0
2006-05-31	28.3	1	82.4	6.4	0	0	1	0	189	2006	1	7	8	0
2006-06-07	28.9	6.6	81.7	7.1	0	0	1	0	198	2006	1	7	9	0
2006-06-14	28.4	1.1	83.1	6.9	0	0	1	1	978	2006	1	7	10	0
2006-06-21	28.3	6.1	85.6	5.8	0	0	0	1	921	2006	1	7	11	0
2006-06-28	27.3	4.2	86.1	2.1	0	0	0	1	777	2006	1	7	12	0
2006-07-05	26.7	7.9	87.3	2.8	0	0	0	1	948	2006	1	7	13	0
2006-07-12	27.2	3.7	86.9	4.9	0	0	0	1	350	2006	1	7	14	1
2006-07-19	27.3	0.5	82.6	3.9	0	0	0	0	0	2014	3	0	32	0
2006-07-26	27	0.2	80.4	5.8	0	0	0	0	0	2014	3	0	33	0
2006-08-02	26.6	2.8	82.3	2.4	133	1	0	0	133	2006	2	8	1	0
2006-08-09	26.9	3.9	78.6	3.7	221	1	0	0	221	2006	2	8	2	0
2006-08-16	26.7	18	84.7	3.6	311	1	0	0	311	2006	2	8	3	0
2006-08-23	27.3	2.9	81.1	5	266	1	0	0	159	2006	2	8	4	0
2006-08-30	27.5	7.7	83.7	6.8	266	1	1	0	179	2006	2	8	5	0
2006-09-06	28.1	0.6	79.4	8.2	266	1	1	0	115	2006	2	8	6	0
2006-09-13	27.7	8.7	85.1	6	0	0	1	0	295	2006	2	8	7	0
2006-09-20	27	3.8	84	3.2	0	0	1	0	380	2006	2	8	8	0
2006-09-27	26.7	8.7	86.4	2.1	0	0	1	0	689	2006	2	8	9	0
2006-10-04	26.7	11	84.1	4.5	0	0	1	1	571	2006	2	8	10	0
2006-10-11	27.1	4.5	85	3.9	0	0	0	1	362	2006	2	8	11	0
2006-10-18	28.1	8.8	81.6	7.4	0	0	0	1	520	2006	2	8	12	0
2006-10-25	28	10	80.7	7.3	0	0	0	1	415	2006	2	8	13	0
2006-11-01	27.4	0	74.6	5.8	0	0	0	1	815	2006	2	8	14	1
2006-11-08	27.5	0.9	76.9	7.8	0	0	0	0	0	2014	3	0	34	0
2006-11-15	27.6	1.1	76	7.9	0	0	0	0	0	2014	3	0	35	0
2006-11-22	27.7	0.4	77.3	8.1	0	0	0	0	0	2014	3	0	36	0
2006-11-29	27.4	0	79	7.9	0	0	0	0	0	2014	3	0	37	0
2006-12-06	27.3	0	76.6	7	0	0	0	0	0	2014	3	0	38	0
2006-12-13	27.2	3.2	78.9	7.6	0	0	0	0	0	2014	3	0	39	0
2006-12-20	26.3	0	70.7	8.4	238	1	0	0	238	2007	3	9	1	0
2006-12-27	25.9	0	75.3	7.7	198	1	0	0	198	2007	3	9	2	0
2006-12-31	26.5	0	77	5	275	1	0	0	275	2007	3	9	3	0
2007-01-04	27.4	0.3	77.7	3.3	236.5	1	0	0	632	2007	3	9	4	0
2007-01-11	26.4	0.5	75.9	6.3	236.5	1	0	0	428	2007	3	9	5	0
2007-01-18	27.2	0	80	6	236.5	1	1	0	430	2007	3	9	6	0
2007-01-25	26	0	78.1	8.1	0	0	1	0	834	2007	3	9	7	0
2007-02-01	22.9	0	74.3	8.6	0	0	1	0	412	2007	3	9	8	0
2007-02-08	25	0	80.1	9.1	0	0	1	0	320	2007	3	9	9	0
2007-02-15	26.6	0	81.9	8.3	0	0	1	0	431	2007	3	9	10	0
2007-02-22	27.3	0	82.1	8.4	0	0	1	1	504	2007	3	9	11	0
2007-03-01	27.1	0	79.9	5.9	0	0	0	1	565	2007	3	9	12	0
2007-03-08	27.5	0	79.7	7	0	0	0	1	462	2007	3	9	13	0
2007-03-15	28.3	0	78	7.6	0	0	0	1	125	2007	3	9	14	0
2007-03-22	27.3	2.6	82.4	4.3	0	0	0	1	815	2007	3	9	15	1
2007-03-29	29.1	0.1	77.1	8	0	0	0	0	0	2014	3	0	40	0
2007-04-05	29.4	0	73.3	6.5	0	0	0	0	0	2014	3	0	41	0
2007-04-12	29.1	0.9	78	4	0	0	0	0	0	2014	3	0	42	0
2007-04-19	29.7	0.1	82.3	5.4	123	1	0	0	123	2007	1	10	1	0
2007-04-26	29.6	1.6	81	7.4	125	1	0	0	125	2007	1	10	2	0
2007-05-03	28.8	4.4	82.4	6.2	141	1	0	0	141	2007	1	10	3	0
2007-05-10	27.9	4.5	84.9	3.2	133	1	0	0	138	2007	1	10	4	0
2007-05-17	27.6	2.2	85.3	5.4	133	1	1	0	145	2007	1	10	5	0
2007-05-24	29.2	2.3	80.7	7.5	133	1	1	0	293	2007	1	10	6	0
2007-05-31	28.1	13.2	85.1	6.5	0	0	1	0	365	2007	1	10	7	0
2007-06-07	29.1	0.1	82.1	8.6	0	0	1	0	1405	2007	1	10	8	0
2007-06-14	29.1	2.4	82.3	8.8	0	0	1	0	1400	2007	1	10	9	0
2007-06-21	28	5.5	86.1	4.2	0	0	1	1	1249	2007	1	10	10	0
2007-06-28	26.5	9.8	88.9	1.7	0	0	0	1	985	2007	1	10	11	0
2007-07-05	26.6	9.7	86.4	2.4	0	0	0	1	1553	2007	1	10	12	0
2007-07-12	27.6	0.9	83.3	3.6	0	0	0	1	1325	2007	1	10	13	0
2007-07-19	28.1	4.8	83.6	4.5	0	0	0	1	341	2007	1	10	14	1
2007-07-26	27.4	16.2	84.4	4.7	0	0	0	0	0	2014	3	0	43	0
2007-08-02	27	1.7	82.4	0.4	0	0	0	0	0	2014	3	0	44	0
2007-08-09	27	12.2	84	2.3	130	1	0	0	130	2007	2	11	1	0
2007-08-16	28.2	3.6	82.4	6.1	137	1	0	0	137	2007	2	11	2	0
2007-08-23	27.9	12.5	82.9	6.6	129	1	0	0	129	2007	2	11	3	0
2007-08-30	28	1.5	82.6	6.9	133	1	0	0	119	2007	2	11	4	0
2007-09-06	28.9	5.8	79.3	7.6	133	1	0	0	145	2007	2	11	5	0
2007-09-13	28.4	9.6	81.7	6.6	133	1	1	0	105	2007	2	11	6	0
2007-09-20	26.7	4.5	84.3	2.5	133	1	1	0	305	2007	2	11	7	0
2007-09-27	27.6	1.6	82.6	4.2	0	0	1	0	335	2007	2	11	8	0
2007-10-04	27.3	9	84.7	5	0	0	1	0	415	2007	2	11	9	0
2007-10-11	27.7	8.6	81.9	7.3	0	0	1	0	468	2007	2	11	10	0
2007-10-18	27.7	12.3	82.4	7	0	0	1	1	505	2007	2	11	11	0
2007-10-25	27.1	16	86.9	4.7	0	0	0	1	453	2007	2	11	12	0
2007-11-01	26.9	9.1	83.4	3.5	0	0	0	1	498	2007	2	11	13	0
2007-11-08	26.8	2.3	77.6	5.7	0	0	0	1	512	2007	2	11	14	0
2007-11-15	27.1	2.2	82.9	7	0	0	0	1	615	2007	2	11	15	1
2007-11-22	26.6	0	75.9	5.2	0	0	0	0	0	2014	3	0	45	0
2007-11-29	24.7	0	73.7	8.5	0	0	0	0	0	2014	3	0	46	0
2007-12-06	26.1	0	77.3	8.1	0	0	0	0	0	2014	3	0	47	0
2007-12-13	27.3	0	79	5	0	0	0	0	0	2014	3	0	48	0
2007-12-20	27.5	0.3	80.4	6.5	168	1	0	0	168	2008	3	12	1	0
2007-12-27	26.5	0	76	5.4	163	1	0	0	163	2008	3	12	2	0
2007-12-31	25.8	0	73	6.7	202	1	0	0	202	2008	3	12	3	0
2008-01-04	24.7	0	74.3	4.5	182.5	1	0	0	328	2008	3	12	4	0
2008-01-11	26.5	0	82	7.2	182.5	1	1	0	122	2008	3	12	5	0
2008-01-18	26.9	0	75.7	8.4	182.5	1	1	0	253	2008	3	12	6	0
2008-01-25	26.4	1.6	81.6	6.3	0	0	1	0	312	2008	3	12	7	0
2008-02-01	26.3	0	81.9	6.2	0	0	1	0	305	2008	3	12	8	0
2008-02-08	25.7	0	80.1	8.2	0	0	1	0	228	2008	3	12	9	0
2008-02-15	25.1	0	80.1	5	0	0	1	1	202	2008	3	12	10	0
2008-02-22	26.1	1.1	74.1	6.1	0	0	0	1	98	2008	3	12	11	0
2008-02-29	26.5	0	78	5.9	0	0	0	1	125	2008	3	12	12	0
2008-03-07	26.7	0.2	78.7	6.9	0	0	0	1	151	2008	3	12	13	0
2008-03-14	27.1	0.1	77.7	8.5	0	0	0	1	151	2008	3	12	14	1
2008-03-21	28.1	0	78.6	6.1	0	0	0	0	0	2014	3	0	49	0
2008-03-28	28.5	0	75.3	7	0	0	0	0	0	2014	3	0	50	0
2008-04-04	28.2	0.4	78.3	5.9	0	0	0	0	0	2014	3	0	51	0
2008-04-11	29.3	0.1	75.1	7.9	13	1	0	0	13	2008	1	13	1	0
2008-04-18	28.5	3.4	79.4	7.6	22	1	0	0	22	2008	1	13	2	0
2008-04-25	28.9	14.3	78.6	5.2	29	1	0	0	29	2008	1	13	3	0
2008-05-02	27.9	9.3	84.7	5.1	25.5	1	0	0	10	2008	1	13	4	0
2008-05-09	27.8	11.4	84	4.7	25.5	1	1	0	82	2008	1	13	5	0
2008-05-16	27.1	14.7	87.3	3.4	25.5	1	1	0	251	2008	1	13	6	0
2008-05-23	28.2	0	84.1	7.8	0	0	1	0	245	2008	1	13	7	0
2008-05-30	29	0	80	8.6	0	0	1	0	389	2008	1	13	8	0
2008-06-06	28.8	0.7	81.9	7.3	0	0	1	0	98	2008	1	13	9	0
2008-06-13	26.1	8.3	90.7	3	0	0	1	1	970	2008	1	13	10	0
2008-06-20	27.8	3.8	83.4	7	0	0	0	1	458	2008	1	13	11	0
2008-06-27	28.5	0.1	81.1	6	0	0	0	1	958	2008	1	13	12	0
2008-07-04	27.6	10.2	82.7	4.8	0	0	0	1	148	2008	1	13	13	0
2008-07-11	28.2	0.2	80	8.4	0	0	0	1	152	2008	1	13	14	1
2008-07-18	28.4	4.3	81.3	7.6	0	0	0	0	0	2014	3	0	52	0
2008-07-25	27.1	8.6	82.1	4.2	0	0	0	0	0	2014	3	0	53	0
2008-08-01	27.4	4.8	81.9	3.2	17	1	0	0	17	2008	2	14	1	0
2008-08-08	26.5	11.6	87	2.9	27	1	0	0	27	2008	2	14	2	0
2008-08-15	27.9	2.5	80.4	5.6	35	1	0	0	35	2008	2	14	3	0
2008-08-22	28.1	6.7	83	6.6	31	1	0	0	28	2008	2	14	4	0
2008-08-29	28.4	8.9	83.4	5.9	31	1	1	0	60	2008	2	14	5	0
2008-09-05	28	7.9	83.4	7	31	1	1	0	113	2008	2	14	6	0
2008-09-12	26.4	3.4	89	2.9	0	0	1	0	384	2008	2	14	7	0
2008-09-19	27.4	4.4	81.9	5.1	0	0	1	0	425	2008	2	14	8	0
2008-09-26	27.8	15.9	82.4	5.1	0	0	1	0	75	2008	2	14	9	0
2008-10-03	28.1	1	83	6.8	0	0	1	1	71	2008	2	14	10	0
2008-10-10	28.2	4.4	82.9	8.1	0	0	0	1	102	2008	2	14	11	0
2008-10-17	28.6	5.3	83.3	7.5	0	0	0	1	453	2008	2	14	12	0
2008-10-24	27.5	6.5	86.6	4.5	0	0	0	1	205	2008	2	14	13	0
2008-10-31	27.4	14.7	85.9	4.9	0	0	0	1	115	2008	2	14	14	1
2008-11-07	27.2	9.1	86.7	5.9	0	0	0	0	0	2014	3	0	54	0
2008-11-14	26.4	0.5	78.4	6.4	0	0	0	0	0	2014	3	0	55	0
2008-11-21	27.2	9.3	83.3	5.8	0	0	0	0	0	2014	3	0	56	0
2008-11-28	25.8	8.8	78.4	4.3	0	0	0	0	0	2014	3	0	57	0
2008-12-05	26.3	0	74.4	7	0	0	0	0	0	2014	3	0	58	0
2008-12-12	26.1	0	75.4	7.2	0	0	0	0	0	2014	3	0	59	0
2008-12-19	25.7	0	74.9	8.2	45	1	0	0	45	2009	3	15	1	0
2008-12-26	26.2	14.9	79.1	4.3	49	1	0	0	49	2009	3	15	2	0
2008-12-30	25.8	8	88.5	2.6	32	1	0	0	32	2009	3	15	3	0
2009-01-04	26.7	0	80	5.5	40.5	1	0	0	128	2009	3	15	4	0
2009-01-11	25.3	0	71	7.2	40.5	1	1	0	124	2009	3	15	5	0
2009-01-18	25.7	0	77.7	9.3	40.5	1	1	0	230	2009	3	15	6	0
2009-01-25	26.1	0	82.4	6.6	0	0	1	0	431	2009	3	15	7	0
2009-02-01	25.6	0	83.6	6.3	0	0	1	0	498	2009	3	15	8	0
2009-02-08	25.6	0.7	82.9	6.5	0	0	1	0	105	2009	3	15	9	0
2009-02-15	27	0	84.4	6.9	0	0	1	1	304	2009	3	15	10	0
2009-02-22	27.8	0.1	81.4	8.6	0	0	0	1	365	2009	3	15	11	0
2009-03-01	27.4	3.8	82.3	6.9	0	0	0	1	262	2009	3	15	12	0
2009-03-08	27.8	1.4	83.6	8.7	0	0	0	1	125	2009	3	15	13	0
2009-03-15	27.9	0	79	6.2	0	0	0	1	225	2009	3	15	14	1
2009-03-22	28.6	0	79.1	9.3	0	0	0	0	0	2014	3	0	60	0
2009-03-29	28.7	0.9	78.1	6.7	0	0	0	0	0	2014	3	0	61	0
2009-04-05	28.2	3.9	79.7	6.8	0	0	0	0	0	2014	3	0	62	0
2009-04-12	29.2	1	79.4	6.3	20	1	0	0	20	2009	1	16	1	0
2009-04-19	29.8	2	77.6	5.6	25	1	0	0	25	2009	1	16	2	0
2009-04-26	28.6	5.9	83.7	5.5	31	1	0	0	31	2009	1	16	3	0
2009-05-03	28.3	4	81.9	3.6	28	1	0	0	339	2009	1	16	4	0
2009-05-10	28	7.3	86.3	4.9	28	1	1	0	138	2009	1	16	5	0
2009-05-17	28.2	2.9	85.1	6	28	1	1	0	45	2009	1	16	6	0
2009-05-24	28.3	5.7	84.6	4.7	0	0	1	0	193	2009	1	16	7	0
2009-05-31	27.6	2.7	85.9	5	0	0	1	0	365	2009	1	16	8	0
2009-06-07	28.5	1.1	82.3	6.1	0	0	1	0	605	2009	1	16	9	0
2009-06-14	28.1	5	83.4	5.7	0	0	1	1	305	2009	1	16	10	0
2009-06-21	28.5	1.6	82.9	6.4	0	0	0	1	449	2009	1	16	11	0
2009-06-28	28.8	0.3	80.4	7.5	0	0	0	1	985	2009	1	16	12	0
2009-07-05	27.7	8.4	83.9	5.2	0	0	0	1	563	2009	1	16	13	0
2009-07-12	27.3	4	84.7	4.2	0	0	0	1	25	2009	1	16	14	0
2009-07-19	26.7	5.9	87.3	1.8	0	0	0	1	200	2009	1	16	15	1
2009-07-26	27.9	3.7	82.7	5.6	0	0	0	0	0	2014	3	0	63	0
2009-08-02	27.7	2.3	82.4	2.9	0	0	0	0	0	2014	3	0	64	0
2009-08-09	29.1	0.4	78	5.8	38	1	0	0	38	2009	2	17	1	0
2009-08-16	28.4	6.2	82.6	5.3	29	1	0	0	29	2009	2	17	2	0
2009-08-23	28.4	10.5	83.6	5.6	15	1	0	0	15	2009	2	17	3	0
2009-08-30	27.9	11.6	84.1	5.6	22	1	0	0	129	2009	2	17	4	0
2009-09-06	26.8	3.7	84.7	1.2	22	1	1	0	145	2009	2	17	5	0
2009-09-13	27.7	4	85.1	5	22	1	1	0	105	2009	2	17	6	0
2009-09-20	28.4	0.8	81.7	6.3	0	0	1	0	218	2009	2	17	7	0
2009-09-27	27.4	2.4	83.4	1.1	0	0	1	0	435	2009	2	17	8	0
2009-10-04	27.5	0	86.9	4.5	0	0	1	0	282	2009	2	17	9	0
2009-10-11	28.3	0	85.4	5	0	0	1	1	68	2009	2	17	10	0
2009-10-18	27	0	85.4	4.6	0	0	0	1	105	2009	2	17	11	0
2009-10-25	27.6	0	83.6	5.7	0	0	0	1	455	2009	2	17	12	0
2009-11-01	27.8	0.7	78.1	7.5	0	0	0	1	200	2009	2	17	13	0
2009-11-08	28.4	1.9	81.3	7.2	0	0	0	1	88	2009	2	17	14	1
2009-11-15	28.4	0.7	80.9	6.7	0	0	0	0	0	2014	3	0	65	0
2009-11-22	26.2	0	75.7	4.6	0	0	0	0	0	2014	3	0	66	0
2009-11-29	27.3	0	75.4	6.4	0	0	0	0	0	2014	3	0	67	0
2009-12-06	26.3	0	77.6	8.1	0	0	0	0	0	2014	3	0	68	0
2009-12-13	27.3	0.5	78	8.1	0	0	0	0	0	2014	3	0	69	0
2009-12-20	26.5	0.2	78.4	7.2	60	1	0	0	60	2010	3	18	1	0
2009-12-27	27	0	80.4	7.7	54	1	0	0	54	2010	3	18	2	0
2009-12-31	26.6	0	80	8.6	33	1	0	0	33	2010	3	18	3	0
2010-01-04	26.9	0	80.4	7.4	43.5	1	0	0	28	2010	3	18	4	0
2010-01-11	26.4	0.2	81.3	7.6	43.5	1	1	0	125	2010	3	18	5	0
2010-01-18	25	0.7	78.9	4.5	43.5	1	1	0	430	2010	3	18	6	0
2010-01-25	26.6	0	81.6	8	0	0	1	0	492	2010	3	18	7	0
2010-02-01	26.6	0	83.3	7.6	0	0	1	0	638	2010	3	18	8	0
2010-02-08	26.5	0	81.7	8.4	0	0	1	0	125	2010	3	18	9	0
2010-02-15	27.2	0	79.9	9.4	0	0	1	1	195	2010	3	18	10	0
2010-02-22	27.3	0	80.9	9.2	0	0	0	1	160	2010	3	18	11	0
2010-03-01	28.2	0	79.4	9.6	0	0	0	1	160	2010	3	18	12	0
2010-03-08	28.3	0	76	8.4	0	0	0	1	62	2010	3	18	13	0
2010-03-15	28.6	0	73.4	8.6	0	0	0	1	135	2010	3	18	14	1
