iteration	K.maxValue	coverage.maxValue	proportion.bounds.logP	q.bounds.logP	maxMortality	slope	resistanceGain	R	fitnessPenalty
53	13434.5	0.584922	-2.85042	-5.33601	0.93959	9.19604	0.557196	12.459	0.362275
54	13296.9	0.608853	-4.73861	-4.13279	0.982387	6.81529	0.756724	39.946	0.39527
55	14643.6	0.112991	-5.63297	-4.94611	0.957304	7.42631	0.794936	29.9431	0.226382
56	19176.2	0.631675	-3.50823	-5.6568	0.921801	7.3849	0.335038	14.5394	0.0763335
57	10506.9	0.5529	-5.53151	-4.66703	0.901641	4.27813	0.721407	44.1266	0.163017
58	10634.6	0.534282	-3.31703	-5.97299	0.988475	4.66839	0.258422	26.1424	0.0640395
59	19135	0.628665	-5.84926	-4.1146	0.925748	2.07239	0.148871	10.2853	0.311612
60	19043.7	0.189087	-5.05698	-4.89981	0.929538	1.66274	0.278512	26.6869	0.379148
61	12312.4	0.713409	-3.8063	-5.53877	0.984124	8.09039	0.703339	41.4989	0.0187434
62	19073	0.646089	-4.10412	-4.31481	0.964644	3.6755	0.357939	47.5846	0.0894473
63	12910.9	0.887758	-4.84928	-4.34537	0.966033	7.00775	0.145478	48.7551	0.0997249
64	11304.9	0.293807	-2.95916	-5.79842	0.938993	9.35636	0.100117	6.7235	0.221832
65	18460.4	0.671777	-5.92884	-4.80229	0.965539	7.71418	0.426527	10.0725	0.217457
66	11697.6	0.538389	-2.66976	-4.11217	0.921939	7.94848	0.2761	49.3572	0.0780115
67	18653.3	0.169809	-2.82102	-4.20027	0.963182	4.73838	0.378713	18.923	0.000526118
68	18822.7	0.719884	-5.80015	-5.50545	0.974227	6.80515	0.242871	30.3442	0.254973
69	14717.2	0.662693	-5.01171	-4.48101	0.935905	4.14814	0.611374	38.1807	0.00419899
70	15146	0.529801	-4.72168	-4.39572	0.935628	1.03022	0.226433	49.8593	0.241895
71	19437.9	0.893815	-2.32517	-5.23491	0.958148	9.48395	0.342236	4.23059	0.377599
72	10304.9	0.859747	-3.82365	-5.55083	0.939262	9.54195	0.666166	35.8965	0.153178
73	12812.3	0.168604	-2.3047	-5.14418	0.972226	9.90568	0.58024	35.3991	0.224788
74	15366.9	0.797099	-5.24469	-5.14917	0.902627	3.8171	0.499761	41.9231	0.125435
75	19376.4	0.1799	-2.2533	-5.34859	0.950193	1.53247	0.624052	17.7325	0.0226021
76	10747.8	0.885542	-4.9728	-5.7819	0.978591	8.93264	0.89679	8.04646	0.129826
77	19362.6	0.850125	-5.29548	-4.46607	0.902214	7.59067	0.604125	3.84641	0.00891825
78	15159.2	0.154506	-4.05372	-4.25053	0.98927	3.02168	0.754812	11.3086	0.333648
79	12333	0.204319	-5.81724	-5.3144	0.912796	2.99464	0.461018	20.4409	0.207133
80	10062.2	0.534889	-5.59946	-4.57861	0.975839	4.42405	0.210373	29.8822	0.194687
81	16522.4	0.87545	-4.99382	-4.95658	0.97592	9.42772	0.388858	43.6949	0.218515
82	12842	0.278314	-3.19316	-5.02726	0.913491	8.47098	0.627563	12.5626	0.224926
83	10805.3	0.147309	-4.37722	-5.82786	0.924247	5.15019	0.778562	20.3458	0.0587655
84	13619.3	0.140438	-5.13153	-5.60686	0.907896	9.70422	0.225301	33.1921	0.29471
85	10492.3	0.460681	-2.25987	-4.09761	0.989382	5.65318	0.47445	22.1837	0.058155
86	12751.1	0.390418	-2.86003	-5.39753	0.926883	2.63508	0.729398	30.844	0.04392
87	12713.7	0.129813	-3.02389	-5.5281	0.921167	9.74913	0.402143	25.8041	0.124355
88	12602.4	0.732538	-3.35382	-4.55946	0.907049	3.14088	0.735588	42.5408	0.397322
89	13236.9	0.580142	-4.26718	-4.05278	0.958895	4.78497	0.427864	14.7605	0.349582
90	11866.4	0.355163	-2.77197	-4.87837	0.978074	6.46012	0.237541	5.80204	0.245806
91	10571	0.439208	-4.96402	-5.0967	0.91796	9.0668	0.333158	23.7017	0.219909
92	18544.4	0.289258	-3.23369	-4.14276	0.931518	6.06581	0.630972	2.15998	0.0562729
93	14925.7	0.579193	-5.26383	-5.82527	0.983621	7.91318	0.293678	9.02587	0.145227
94	14367.8	0.61297	-2.10328	-4.43192	0.96924	4.04344	0.515243	9.17152	0.109762
95	12038.8	0.454582	-5.25095	-5.21136	0.93511	3.20184	0.814248	29.3263	0.0721809
96	15051.1	0.112262	-4.22187	-4.48304	0.96891	5.30349	0.846981	35.4973	0.0709236
97	13668.4	0.415153	-3.62943	-4.75411	0.959444	8.46282	0.61633	32.9224	0.286517
98	15016.1	0.265551	-2.49995	-5.03482	0.974491	9.71672	0.688821	34.2356	0.374812
99	14634.7	0.780032	-4.63024	-4.59681	0.960999	4.09382	0.663477	11.3174	0.160707
100	11055.9	0.52091	-3.39358	-5.79272	0.935412	9.31981	0.57686	17.3306	0.392171
101	10533.5	0.803168	-2.19679	-5.64321	0.918105	6.58962	0.42804	30.0562	0.246188
102	19324.6	0.562672	-4.23307	-5.5598	0.983843	2.1617	0.319393	22.8595	0.189599
103	15700.6	0.728069	-2.16795	-5.08857	0.96637	5.22531	0.266623	24.9345	0.157732
104	11567.3	0.644667	-4.44677	-4.72083	0.965429	6.17245	0.216437	49.8083	0.198016
105	17048	0.850512	-2.84384	-4.79561	0.94673	3.88744	0.840965	31.8974	0.1775
106	19401.4	0.223016	-4.1692	-5.70694	0.927232	4.64665	0.648932	11.5247	0.0462199
107	14611.5	0.267709	-5.95503	-4.31707	0.90562	5.17706	0.592483	12.0013	0.176829
108	19915.5	0.615166	-5.50709	-5.85013	0.944561	2.43808	0.452426	2.34632	0.269517
109	19729.5	0.721918	-2.69342	-4.17303	0.972414	1.74805	0.439751	2.2204	0.240699
110	17606.1	0.370268	-5.1787	-5.10259	0.982056	7.0459	0.713812	6.03999	0.1203
111	18275.3	0.423821	-5.96624	-5.90835	0.987252	9.60875	0.624843	15.8297	0.349132
112	16321.2	0.371792	-2.80102	-4.24358	0.927161	6.42921	0.425448	17.5998	0.243762
113	13974.4	0.617605	-2.55537	-4.6157	0.902372	6.14234	0.756948	11.1656	0.273639
114	14504.4	0.117494	-4.21852	-5.82041	0.983023	5.53159	0.17128	25.5898	0.208643
115	14899.7	0.543487	-3.37304	-5.23226	0.989045	1.58062	0.34732	2.49503	0.332329
116	16643.3	0.457705	-4.6248	-4.22996	0.965076	5.57199	0.424269	46.7673	0.303654
117	15939.1	0.670416	-3.46326	-4.21912	0.962706	6.32501	0.664035	21.3346	0.203129
118	10759.7	0.102275	-2.28676	-4.11159	0.973068	5.3234	0.101991	25.5184	0.146294
119	16696.3	0.815637	-5.21866	-4.11737	0.932033	2.53156	0.629524	8.27331	0.39056
120	10016.3	0.270134	-5.06384	-4.67354	0.931233	2.42991	0.757834	9.08998	0.271631
121	19610.6	0.791882	-2.63	-4.62746	0.931358	5.15814	0.263931	43.3428	0.0898525
122	18216.8	0.425009	-2.45636	-4.69661	0.916162	7.24656	0.473951	39.1973	0.151805
123	14104.8	0.872737	-4.2709	-5.3069	0.942342	9.38179	0.249927	47.4789	0.239051
124	18378.9	0.29466	-3.75346	-5.572	0.908276	2.47798	0.482632	8.83176	0.189033
125	15841.5	0.261427	-5.12007	-5.52735	0.905515	4.29486	0.277235	7.00656	0.326366
126	18049.9	0.284267	-3.34906	-4.5992	0.959911	9.72604	0.831042	23.4579	0.194802
127	12552.8	0.233509	-4.53323	-5.7145	0.952222	5.07647	0.612059	25.9313	0.255727
128	18928.1	0.827758	-5.04764	-4.84954	0.971614	3.54532	0.212325	24.2391	0.104989
129	13115.7	0.819936	-4.49583	-5.64146	0.963515	9.33641	0.416462	4.99037	0.336096
130	11519.2	0.500025	-3.29927	-5.19655	0.955849	3.94749	0.800126	23.244	0.37945
131	15434.6	0.741234	-4.51845	-4.32245	0.947777	8.06343	0.47951	21.7821	0.346053
132	15966.4	0.769785	-5.37566	-5.61161	0.952175	9.51264	0.620998	31.4169	0.299201
133	14469.2	0.352537	-4.05947	-4.4258	0.959522	1.45846	0.330979	28.1488	0.278716
134	11064.2	0.34677	-2.87695	-4.56995	0.95562	8.48581	0.211791	35.7473	0.0644579
135	18997.2	0.784192	-2.02237	-5.48025	0.983405	1.78995	0.148738	34.8568	0.267316
136	12666.2	0.736671	-5.83282	-5.49185	0.980849	6.91289	0.522879	30.5759	0.020535
137	19108.7	0.73465	-4.73392	-5.50898	0.928257	1.34589	0.826277	45.8584	0.230131
138	12789.3	0.536785	-5.34302	-4.7727	0.940288	4.99879	0.292445	6.34718	0.307475
139	18179.2	0.635668	-5.66438	-5.42423	0.945597	2.866	0.890057	40.9309	0.256462
140	15823.3	0.734185	-5.97105	-4.40437	0.909057	9.58417	0.267587	44.2886	0.326944
141	13913.1	0.509867	-4.04133	-4.59591	0.95462	9.65962	0.732241	46.1107	0.204595
142	15600.1	0.641867	-2.16201	-4.36141	0.940485	2.75037	0.265933	43.9609	0.138317
143	14725	0.867554	-3.55405	-4.60768	0.924694	9.59954	0.154435	45.3773	0.273225
144	16411.4	0.497378	-3.34624	-4.88723	0.916651	6.04664	0.383631	11.026	0.0668458
145	14421.9	0.514091	-3.70289	-5.12995	0.984191	8.16308	0.387696	10.6569	0.270651
146	15525.3	0.146942	-3.97684	-5.60049	0.949481	3.29709	0.335327	28.8138	0.156066
147	19359.2	0.505642	-4.09752	-4.18294	0.988057	4.24043	0.32399	24.0427	0.0525483
148	13047.5	0.21756	-3.6395	-5.55443	0.987517	2.28454	0.530989	17.6239	0.288015
149	12831.3	0.228271	-4.30813	-4.37495	0.970099	7.96246	0.833232	42.4355	0.388906
150	10172	0.525628	-4.39068	-4.84126	0.908093	7.16681	0.260644	36.1956	0.174866
151	11137.1	0.647504	-2.90991	-4.22262	0.976262	5.43708	0.296854	31.9264	0.0391146
152	10829.9	0.13042	-5.51551	-4.443	0.915889	8.00407	0.881999	41.5823	0.0201831
153	17182.2	0.554654	-2.93294	-4.84596	0.943953	1.1099	0.233827	45.804	0.367188
154	12440.3	0.772411	-5.20763	-4.11888	0.90332	2.26413	0.371712	44.6806	0.0271362
155	16092.4	0.440937	-2.74406	-5.27986	0.934478	4.6625	0.253666	34.7286	0.388752
156	18453	0.873827	-3.77012	-4.45781	0.914377	1.7397	0.352166	7.86942	0.0799137
157	12284.4	0.623127	-3.85417	-4.08507	0.945991	6.7586	0.273482	33.4211	0.11852
158	15491.7	0.517663	-2.15839	-4.51679	0.949192	1.07347	0.194095	13.5628	0.187048
159	13444.5	0.451262	-5.31928	-5.50313	0.921999	6.23317	0.288325	18.7585	0.0180909
160	17284.6	0.498245	-3.03711	-5.8707	0.924787	9.0048	0.781518	21.7658	0.33978
161	17485.4	0.813583	-5.51951	-4.42073	0.967321	8.9512	0.78846	7.64542	0.296216
162	18806.7	0.590966	-4.02086	-4.69562	0.951373	9.68716	0.128001	38.0537	0.35562
163	10774.4	0.436373	-5.62043	-4.97756	0.937063	8.68331	0.180635	9.44096	0.333069
164	10350.9	0.386549	-3.21363	-5.03685	0.964195	9.25906	0.412762	5.34489	0.185795
165	14305.7	0.437959	-4.16337	-4.77623	0.957485	6.41713	0.14271	48.5663	0.188407
166	13497	0.885631	-3.61876	-5.2026	0.907242	2.25025	0.571535	48.2228	0.024685
167	15397.9	0.311651	-2.99625	-5.38412	0.958255	7.15104	0.870999	3.26171	0.0276731
168	19843.2	0.788762	-4.25627	-4.57258	0.912273	5.78921	0.178278	22.514	0.0923502
169	19477.1	0.227451	-3.43982	-5.30881	0.937458	7.50926	0.674866	12.3559	0.291686
170	14322.2	0.219781	-3.38464	-5.73237	0.918578	5.31267	0.273649	17.4779	0.15983
171	14337.3	0.303873	-2.55997	-5.61654	0.986965	4.68355	0.770464	34.999	0.274955
172	16266.3	0.714971	-4.33156	-5.6511	0.913214	8.37383	0.670331	38.5696	0.386342
173	17353.9	0.626616	-4.48756	-4.76284	0.922905	1.72743	0.227226	34.2914	0.183136
174	13811.7	0.188077	-4.52082	-4.53167	0.986667	5.42781	0.328576	6.6481	0.118865
175	18303.7	0.376345	-2.97293	-4.87766	0.922552	3.5165	0.704796	39.0723	0.0879786
176	10485.4	0.615777	-3.84621	-5.11012	0.944761	4.00266	0.602019	46.8757	0.0430694
177	19964.2	0.558915	-4.48246	-5.4304	0.949717	2.87606	0.809014	33.6373	0.00845407
178	13185	0.335023	-3.61001	-4.55357	0.963686	9.04406	0.125524	40.7042	0.307097
179	18440.5	0.835176	-4.34681	-4.03124	0.931018	4.11889	0.716552	2.71118	0.181864
180	14350.1	0.751129	-4.40271	-5.29628	0.974055	2.78434	0.533793	37.359	0.292621
181	19145.3	0.265607	-2.90787	-4.90612	0.924638	5.74349	0.485705	35.2314	0.0114394
182	15785.1	0.243605	-3.65891	-5.03196	0.958131	7.27499	0.196106	18.6325	0.0880125
183	18159.4	0.368336	-3.78377	-5.18207	0.911284	6.68683	0.606929	18.7374	0.291354
184	14965.6	0.637191	-4.03222	-5.84759	0.961206	3.24678	0.653653	18.5307	0.103547
185	14660.5	0.342657	-4.95981	-4.42869	0.92141	6.97266	0.299037	32.4682	0.272487
186	14242.4	0.334242	-3.44992	-5.53045	0.93743	1.10077	0.442784	45.1159	0.151423
187	11635.5	0.571637	-2.70022	-5.4017	0.912209	2.66889	0.646798	44.6108	0.22074
188	14277.2	0.526928	-5.61911	-5.95041	0.904344	3.04451	0.631721	42.9416	0.10313
189	13022.2	0.136691	-3.92184	-4.46554	0.913755	4.86872	0.329626	32.1786	0.117616
190	19765.4	0.823382	-4.89702	-4.54165	0.948816	3.50788	0.28331	3.08253	0.111182
191	11213.2	0.694597	-3.33918	-4.07958	0.948074	1.4372	0.564744	8.46505	0.156969
192	14626.7	0.341002	-3.3963	-5.07729	0.960097	9.49455	0.510259	41.8189	0.252531
193	14788	0.246251	-3.79178	-4.86254	0.929249	9.92278	0.540781	28.9732	0.373384
194	13015.4	0.504385	-3.95103	-5.44932	0.933572	1.78104	0.586727	11.3969	0.0503187
195	14041.7	0.363037	-3.72994	-4.33399	0.937329	7.82113	0.546444	42.6203	0.370407
196	13779.5	0.424563	-2.94938	-4.16324	0.968045	7.76969	0.468525	23.3723	0.222652
197	10643	0.163188	-2.04968	-5.97047	0.928426	6.15094	0.340696	10.3877	0.253045
198	13729.8	0.37915	-2.971	-5.50104	0.92097	4.52909	0.433276	29.1211	0.0936632
199	16252.8	0.268405	-2.48143	-4.59179	0.946981	7.93628	0.289076	49.1592	0.245092
200	11354.4	0.121728	-4.66396	-5.9409	0.976748	4.6245	0.781671	42.3729	0.164573
201	13064	0.896433	-5.12782	-5.04141	0.974556	6.07046	0.770291	25.7321	0.186677
202	10762.9	0.201571	-4.91097	-5.36164	0.97048	2.44608	0.511542	21.9528	0.158115
203	15210	0.715594	-4.63583	-5.06102	0.924075	8.38719	0.600943	47.6831	0.0529255
204	10945.8	0.609754	-3.30746	-4.97554	0.957144	5.47772	0.616943	24.6986	0.0962224
205	19167.2	0.260726	-2.40901	-4.30074	0.930155	2.32594	0.794329	26.9258	0.0952643
206	16897.4	0.810037	-2.1712	-5.04392	0.912435	8.22691	0.286259	37.5715	0.192416
207	15407.1	0.563785	-3.277	-4.32112	0.92496	6.95123	0.476666	26.9097	0.268723
208	18567.7	0.421132	-4.45781	-5.62782	0.96492	1.87746	0.446223	34.0273	0.146748
209	18494.4	0.721393	-2.58257	-5.01379	0.916933	2.39432	0.361403	45.4545	0.0496076
210	18743.9	0.441632	-5.58827	-4.02321	0.942667	7.54124	0.899319	37.4606	0.304199
211	15192.7	0.795137	-2.91718	-5.09918	0.90152	4.23558	0.466082	32.8668	0.351844
212	13075.6	0.297018	-2.11009	-4.49706	0.923025	4.88374	0.824639	42.061	0.19589
213	10297.8	0.477128	-4.07641	-5.81847	0.943463	5.19747	0.815383	47.9812	0.203653
214	18715.1	0.306252	-4.10949	-5.46382	0.968327	4.3152	0.398778	37.6964	0.357393
215	16052.1	0.815024	-4.85322	-4.0663	0.961566	5.99243	0.608063	31.229	0.265229
216	15379.4	0.727613	-5.40525	-5.26884	0.933482	4.17693	0.359191	47.736	0.342061
217	11485.7	0.183206	-3.08613	-5.31731	0.969368	3.34932	0.13493	24.1352	0.364249
218	15425.6	0.83377	-2.76612	-5.70032	0.940639	9.30113	0.419015	39.0222	0.0275989
219	15852.4	0.773108	-4.03702	-5.18861	0.936328	3.26733	0.241089	45.5887	0.345684
220	12370.3	0.85283	-3.71807	-4.92979	0.910813	7.06037	0.1765	23.9403	0.0440921
221	18420.9	0.308594	-2.30133	-5.40623	0.964358	8.32739	0.655621	36.8512	0.323913
222	16132.7	0.400518	-4.47644	-5.96692	0.983724	1.46681	0.75168	27.8648	0.236557
223	18867.8	0.472893	-4.29555	-4.86969	0.904471	3.59405	0.71543	18.4404	0.397912
224	13568.6	0.350962	-2.94015	-4.67439	0.928111	3.82765	0.898376	49.2387	0.0235663
225	10451.6	0.198685	-4.23742	-4.31172	0.95971	5.64755	0.307944	7.10153	0.341694
226	10951.4	0.767801	-5.95052	-5.94352	0.968613	8.25184	0.677052	38.7488	0.314324
227	14439.7	0.271546	-3.77962	-5.09524	0.961349	3.90918	0.421511	25.8195	0.113236
228	13004.1	0.258	-3.2472	-4.6442	0.964556	5.29463	0.454139	21.2396	0.00798096
229	10092.4	0.764647	-5.03303	-5.01477	0.939228	5.68279	0.783321	20.6356	0.249419
230	17620	0.725414	-3.02827	-5.86224	0.916101	4.34793	0.68272	14.1124	0.167263
231	10705.9	0.839921	-2.46684	-4.2954	0.941446	9.10741	0.667632	42.4951	0.106606
232	12177.6	0.211997	-5.43548	-5.28477	0.950001	2.10201	0.653447	49.7994	0.328142
233	18625.2	0.223748	-2.28348	-5.74089	0.987691	5.2829	0.581465	34.7854	0.334407
234	10915.7	0.212308	-2.07903	-5.77754	0.940007	2.98479	0.351381	33.119	0.148811
235	12658	0.3842	-3.61501	-5.35851	0.917651	6.63657	0.215353	7.99582	0.355414
236	11805.6	0.854438	-5.94669	-5.16515	0.91478	8.37048	0.379891	38.8442	0.162737
237	16928.9	0.355447	-4.38573	-5.37904	0.942211	5.59254	0.640275	47.6403	0.192882
238	18110.5	0.18971	-3.18882	-5.71039	0.982566	7.82779	0.271403	18.395	0.077047
239	16966.9	0.746429	-3.95688	-5.61503	0.987304	2.13355	0.128956	48.2828	0.238333
240	19636.6	0.155738	-3.44111	-5.47325	0.9737	2.21429	0.183164	15.0804	0.358327
241	19201.9	0.774877	-4.511	-5.26572	0.94768	8.92045	0.524957	2.40449	0.203345
242	19413.8	0.770932	-3.96155	-4.00335	0.970797	7.9109	0.23475	37.04	0.0804479
243	16500.3	0.293472	-2.96754	-4.07765	0.951902	8.07416	0.659419	16.4509	0.365545
244	13808.4	0.367825	-4.67158	-4.61943	0.917622	9.79357	0.775086	19.8113	0.378188
245	12949	0.109822	-3.85743	-4.279	0.918687	8.12	0.557844	2.01241	0.224019
246	10881	0.794131	-4.02784	-4.65713	0.914917	3.36615	0.504024	45.7658	0.0764364
247	19927.7	0.411896	-2.39373	-4.04798	0.921013	4.5006	0.893904	45.9371	0.178326
248	13405.7	0.830683	-2.71167	-5.56837	0.979578	4.76502	0.55188	36.4079	0.232856
249	18311	0.240055	-5.28595	-4.29668	0.925951	4.00805	0.607876	21.404	0.24987
250	16635.3	0.419045	-3.11987	-4.61331	0.913012	1.28918	0.336526	34.6841	0.213508
251	15885.8	0.693589	-2.33506	-5.45858	0.986424	5.72336	0.355218	14.0918	0.334256
252	10240	0.391912	-5.96201	-5.86179	0.938249	3.77167	0.420624	30.9618	0.159222
253	15027.9	0.573553	-5.41849	-5.2541	0.907452	1.66678	0.277858	28.2145	0.0547734
254	13462.7	0.429793	-2.78296	-4.33124	0.940555	8.54133	0.469079	43.191	0.10199
255	16334.8	0.871549	-4.09158	-5.23755	0.964457	4.53983	0.78552	35.3311	0.373845
256	19647.4	0.393992	-3.78766	-5.71908	0.90675	9.93515	0.726786	9.61397	0.131369
257	17314.7	0.846199	-5.90143	-5.63914	0.955333	4.74742	0.635103	45.0881	0.0686606
258	17269.9	0.165037	-3.39034	-5.68737	0.923956	8.95898	0.190522	23.5811	0.197376
259	14079	0.401527	-3.82735	-5.98048	0.975279	5.36836	0.207456	46.6916	0.073468
260	18786.4	0.437355	-2.80725	-5.22956	0.966097	5.27087	0.204195	15.2609	0.341286
261	16552	0.493056	-3.14603	-4.66598	0.951714	1.09362	0.110331	28.8806	0.130691
262	14297.3	0.177534	-5.03823	-5.70876	0.911535	4.59788	0.164495	11.7681	0.0161224
263	11377.8	0.253558	-2.04598	-5.98836	0.912063	3.06855	0.79663	10.4199	0.346445
264	10787	0.276232	-2.05595	-5.12103	0.953036	2.91437	0.845478	41.6788	0.0889605
265	14886.9	0.226702	-5.30665	-5.9347	0.979168	6.82743	0.248516	33.307	0.0468799
266	13314	0.202747	-2.95268	-5.26064	0.977021	1.06507	0.835619	18.3545	0.193626
267	10515.4	0.676178	-4.3545	-4.89265	0.968425	8.13631	0.392556	49.6903	0.304617
268	11845	0.838604	-3.10163	-5.65934	0.984769	4.67412	0.481524	6.08365	0.16007
269	14485.6	0.864962	-2.55069	-5.25751	0.920206	1.23658	0.868294	26.5053	0.0835385
270	15454.2	0.443485	-4.90323	-5.68015	0.961535	2.02645	0.777118	30.4496	0.349892
271	14770.4	0.892698	-2.49054	-4.88375	0.953996	4.57206	0.18867	39.7136	0.369398
272	14701.5	0.178393	-2.04382	-4.46914	0.915611	5.60521	0.505762	34.3995	0.122701
273	14202	0.161764	-4.53063	-5.58638	0.956955	5.14031	0.49022	22.5788	0.371379
274	14084.7	0.621484	-3.42998	-5.32254	0.963351	3.28331	0.366221	32.2767	0.0565774
275	18670.5	0.353215	-4.29131	-5.26717	0.905336	1.13325	0.470792	46.5122	0.153616
276	15276.8	0.530682	-4.68451	-4.97817	0.96286	5.23104	0.573208	28.6893	0.301509
277	10400.3	0.332077	-3.07783	-4.28715	0.970019	7.73178	0.344517	35.1917	0.389346
278	16803.7	0.196515	-3.22912	-5.33138	0.975426	3.05384	0.840394	5.07056	0.172033
279	19998.3	0.633258	-5.49765	-4.32717	0.944834	9.93741	0.178662	49.7375	0.38042
280	14994.4	0.54865	-2.83531	-4.50634	0.900797	3.22372	0.530175	22.0875	0.372613
281	13325.3	0.569678	-3.26138	-4.49973	0.96169	3.93792	0.681458	30.2702	0.0324021
282	17785.8	0.744663	-5.25412	-4.71997	0.948334	6.58763	0.391966	19.5722	0.287994
283	18857	0.809473	-2.72025	-5.02867	0.959378	5.89602	0.50863	27.1396	0.00373939
